index	5primepreterm	bkgdpreterm	initiationrate	mutant	proteins_mutant	proteins_yfp0	selpreterm	simulation_time	stallstrengthindex	ps_ratio
44	1.0	0	0.3	cta34	1375	10000	0.0	34983.91	0	0.1375
45	0.0	0	0.3	cta169	504	10000	1.0	34868.08	0	0.0504
46	0.0	0	0.3	cta43	448	10000	1.0	34482.28	0	0.0448
47	0.0	0	0.3	cta100	1855	10000	0.0	34317.68	0	0.1855
48	0.0	0	0.3	cta180	1980	10000	0.0	34464.61	0	0.198
49	1.0	0	0.3	cta119	1390	10000	0.0	35315.24	0	0.139
50	0.0	0	0.3	cta54	459	10000	1.0	35037.58	0	0.0459
51	0.0	0	0.3	cta69	498	10000	1.0	34536.02	0	0.0498
52	0.0	0	0.3	cta151	2011	10000	0.0	34424.39	0	0.2011
53	1.0	0	0.3	cta53	449	10000	0.0	34799.68	0	0.0449
54	0.0	0	0.3	cta164	2039	10000	0.0	34571.96	0	0.2039
55	0.0	0	0.3	cta218	2088	10000	0.0	35034.16	0	0.2088
56	0.0	0	0.3	cta183	482	10000	1.0	34731.56	0	0.0482
57	1.0	0	0.3	cta95	1396	10000	0.0	34953.79	0	0.1396
58	0.0	0	0.3	cta185	2067	10000	0.0	34532.17	0	0.2067
59	1.0	0	0.3	cta160	1433	10000	0.0	35076.0	0	0.1433
60	0.0	0	0.3	cta44	1511	10000	0.0	34739.54	0	0.1511
61	1.0	0	0.3	cta225	1386	10000	0.0	34781.76	0	0.1386
62	1.0	0	0.3	cta39	1391	10000	0.0	35581.95	0	0.1391
63	0.0	0	0.3	cta24	468	10000	1.0	34692.42	0	0.0468
64	1.0	0	0.3	cta205	1333	10000	0.0	34579.56	0	0.1333
65	1.0	0	0.3	cta133	1342	10000	0.0	34219.78	0	0.1342
66	0.0	0	0.3	cta55	489	10000	1.0	34658.01	0	0.0489
67	0.0	0	0.3	cta119	1839	10000	0.0	34285.27	0	0.1839
68	0.0	0	0.3	cta126	483	10000	1.0	35023.05	0	0.0483
69	0.0	0	0.3	cta173	461	10000	1.0	34875.09	0	0.0461
70	0.0	0	0.3	cta62	484	10000	1.0	34245.49	0	0.0484
71	0.0	0	0.3	cta9	427	10000	1.0	34814.55	0	0.0427
72	0.0	0	0.3	cta232	2079	10000	0.0	34513.81	0	0.2079
73	0.0	0	0.3	cta201	2044	10000	0.0	34840.01	0	0.2044
74	1.0	0	0.3	cta121	1387	10000	0.0	35018.31	0	0.1387
75	0.0	0	0.3	cta121	494	10000	1.0	34879.11	0	0.0494
76	0.0	0	0.3	cta1	2246	10000	0.0	34852.69	0	0.2246
77	1.0	0	0.3	cta10	1465	10000	0.0	34498.75	0	0.1465
78	1.0	0	0.3	cta145	1415	10000	0.0	35491.32	0	0.1415
79	0.0	0	0.3	cta222	485	10000	1.0	34401.38	0	0.0485
80	1.0	0	0.3	cta18	1431	10000	0.0	35370.38	0	0.1431
81	0.0	0	0.3	cta17	1847	10000	0.0	35348.88	0	0.1847
82	0.0	0	0.3	cta80	459	10000	1.0	34873.59	0	0.0459
83	1.0	0	0.3	cta171	1405	10000	0.0	35106.96	0	0.1405
84	0.0	0	0.3	cta196	515	10000	1.0	35566.25	0	0.0515
85	1.0	0	0.3	cta92	1395	10000	0.0	34862.7	0	0.1395
86	0.0	0	0.3	cta207	505	10000	1.0	34465.9	0	0.0505
87	0.0	0	0.3	cta173	2047	10000	0.0	34832.85	0	0.2047
88	1.0	0	0.3	cta147	1363	10000	0.0	35180.28	0	0.1363
89	1.0	0	0.3	cta54	485	10000	0.0	34875.42	0	0.0485
90	0.0	0	0.3	cta23	487	10000	1.0	34910.98	0	0.0487
91	0.0	0	0.3	cta163	2063	10000	0.0	34352.16	0	0.2063
92	0.0	0	0.3	cta87	534	10000	1.0	35457.33	0	0.0534
93	0.0	0	0.3	cta220	498	10000	1.0	34651.04	0	0.0498
94	0.0	0	0.3	cta18	1836	10000	0.0	35063.53	0	0.1836
95	0.0	0	0.3	cta87	1748	10000	0.0	35197.14	0	0.1748
96	0.0	0	0.3	cta85	1649	10000	0.0	35120.42	0	0.1649
97	1.0	0	0.3	cta7	1455	10000	0.0	35364.69	0	0.1455
98	0.0	0	0.3	cta156	2067	10000	0.0	34974.56	0	0.2067
99	1.0	0	0.3	cta88	1414	10000	0.0	34973.1	0	0.1414
100	0.0	0	0.3	cta66	1128	10000	0.0	34705.27	0	0.1128
101	1.0	0	0.3	cta68	480	10000	0.0	34994.53	0	0.048
102	1.0	0	0.3	cta90	1366	10000	0.0	34685.77	0	0.1366
103	1.0	0	0.3	cta74	1379	10000	0.0	34950.8	0	0.1379
104	1.0	0	0.3	cta78	1368	10000	0.0	35250.56	0	0.1368
105	0.0	0	0.3	cta84	1661	10000	0.0	34642.75	0	0.1661
106	0.0	0	0.3	cta30	1733	10000	0.0	34753.92	0	0.1733
107	1.0	0	0.3	cta40	1343	10000	0.0	34538.28	0	0.1343
108	1.0	0	0.3	cta146	1317	10000	0.0	34681.73	0	0.1317
109	1.0	0	0.3	cta35	1341	10000	0.0	35099.36	0	0.1341
110	0.0	0	0.3	cta108	519	10000	1.0	35130.2	0	0.0519
111	0.0	0	0.3	cta198	506	10000	1.0	34407.65	0	0.0506
112	0.0	0	0.3	cta55	1131	10000	0.0	34796.46	0	0.1131
113	0.0	0	0.3	cta187	443	10000	1.0	34736.72	0	0.0443
114	1.0	0	0.3	cta100	1305	10000	0.0	34057.38	0	0.1305
115	1.0	0	0.3	cta231	1384	10000	0.0	34859.09	0	0.1384
116	1.0	0	0.3	cta153	1418	10000	0.0	35003.65	0	0.1418
117	0.0	0	0.3	cta45	1519	10000	0.0	35005.84	0	0.1519
118	0.0	0	0.3	cta74	480	10000	1.0	34930.84	0	0.048
119	1.0	0	0.3	cta164	1361	10000	0.0	34613.89	0	0.1361
120	0.0	0	0.3	cta114	1917	10000	0.0	34686.1	0	0.1917
121	1.0	0	0.3	cta157	1400	10000	0.0	34948.95	0	0.14
122	0.0	0	0.3	cta81	1674	10000	0.0	34531.98	0	0.1674
123	0.0	0	0.3	cta192	2052	10000	0.0	34440.13	0	0.2052
124	0.0	0	0.3	cta186	560	10000	1.0	34831.35	0	0.056
125	0.0	0	0.3	cta149	2039	10000	0.0	34960.96	0	0.2039
126	1.0	0	0.3	cta138	1421	10000	0.0	35032.69	0	0.1421
127	0.0	0	0.3	cta44	455	10000	1.0	35100.48	0	0.0455
128	0.0	0	0.3	cta38	1669	10000	0.0	35437.06	0	0.1669
129	1.0	0	0.3	cta199	1349	10000	0.0	34233.61	0	0.1349
130	0.0	0	0.3	cta175	477	10000	1.0	34678.35	0	0.0477
131	1.0	0	0.3	cta151	1335	10000	0.0	34889.32	0	0.1335
132	0.0	0	0.3	cta119	482	10000	1.0	34836.93	0	0.0482
133	1.0	0	0.3	cta218	1402	10000	0.0	35181.88	0	0.1402
134	1.0	0	0.3	cta219	1361	10000	0.0	34647.67	0	0.1361
135	0.0	0	0.3	cta150	2032	10000	0.0	34867.82	0	0.2032
136	1.0	0	0.3	cta75	1416	10000	0.0	35299.6	0	0.1416
137	0.0	0	0.3	cta142	2030	10000	0.0	34471.67	0	0.203
138	0.0	0	0.3	cta153	540	10000	1.0	35015.79	0	0.054
139	0.0	0	0.3	cta103	1842	10000	0.0	34882.23	0	0.1842
140	1.0	0	0.3	cta187	1372	10000	0.0	34727.86	0	0.1372
141	1.0	0	0.3	cta31	1352	10000	0.0	34558.05	0	0.1352
142	0.0	0	0.3	cta163	478	10000	1.0	35026.72	0	0.0478
143	1.0	0	0.3	cta58	444	10000	0.0	34462.24	0	0.0444
144	1.0	0	0.3	cta77	1385	10000	0.0	34973.21	0	0.1385
145	0.0	0	0.3	cta6	437	10000	1.0	34967.63	0	0.0437
146	1.0	0	0.3	cta55	459	10000	0.0	34752.64	0	0.0459
147	0.0	0	0.3	cta61	467	10000	1.0	34242.79	0	0.0467
148	0.0	0	0.3	cta217	529	10000	1.0	35051.16	0	0.0529
149	0.0	0	0.3	cta97	486	10000	1.0	34693.39	0	0.0486
150	0.0	0	0.3	cta14	1870	10000	0.0	34441.23	0	0.187
151	0.0	0	0.3	cta130	1918	10000	0.0	34686.58	0	0.1918
152	1.0	0	0.3	cta122	1360	10000	0.0	34684.59	0	0.136
153	1.0	0	0.3	cta233	1431	10000	0.0	35396.94	0	0.1431
154	1.0	0	0.3	cta213	1322	10000	0.0	34365.43	0	0.1322
155	0.0	0	0.3	cta59	1078	10000	0.0	34792.51	0	0.1078
156	0.0	0	0.3	cta4	1797	10000	0.0	34621.41	0	0.1797
157	0.0	0	0.3	cta105	1867	10000	0.0	34779.31	0	0.1867
158	0.0	0	0.3	cta116	497	10000	1.0	35211.64	0	0.0497
159	0.0	0	0.3	cta218	508	10000	1.0	34378.34	0	0.0508
160	1.0	0	0.3	cta128	1342	10000	0.0	35008.5	0	0.1342
161	0.0	0	0.3	cta158	2032	10000	0.0	34406.88	0	0.2032
162	0.0	0	0.3	cta70	1512	10000	0.0	34956.77	0	0.1512
163	1.0	0	0.3	cta13	1391	10000	0.0	35010.28	0	0.1391
164	0.0	0	0.3	cta113	494	10000	1.0	34717.62	0	0.0494
165	1.0	0	0.3	cta162	1356	10000	0.0	35021.66	0	0.1356
166	0.0	0	0.3	cta27	1843	10000	0.0	35045.87	0	0.1843
167	1.0	0	0.3	cta70	1366	10000	0.0	35076.87	0	0.1366
168	0.0	0	0.3	cta82	1621	10000	0.0	34955.8	0	0.1621
169	0.0	0	0.3	cta18	472	10000	1.0	34799.74	0	0.0472
170	0.0	0	0.3	cta94	1740	10000	0.0	34865.67	0	0.174
171	1.0	0	0.3	cta131	1384	10000	0.0	34724.77	0	0.1384
172	1.0	0	0.3	cta23	1384	10000	0.0	34963.65	0	0.1384
173	1.0	0	0.3	cta236	1432	10000	0.0	35572.08	0	0.1432
174	1.0	0	0.3	cta210	1308	10000	0.0	34565.76	0	0.1308
175	1.0	0	0.3	cta64	475	10000	0.0	35024.32	0	0.0475
176	0.0	0	0.3	cta147	523	10000	1.0	34898.59	0	0.0523
177	1.0	0	0.3	cta93	1384	10000	0.0	34986.81	0	0.1384
178	1.0	0	0.3	cta52	439	10000	0.0	34586.7	0	0.0439
179	0.0	0	0.3	cta101	452	10000	1.0	34765.75	0	0.0452
180	0.0	0	0.3	cta93	506	10000	1.0	34688.61	0	0.0506
181	0.0	0	0.3	cta52	1175	10000	0.0	34595.4	0	0.1175
182	0.0	0	0.3	cta4	429	10000	1.0	35035.3	0	0.0429
183	0.0	0	0.3	cta16	474	10000	1.0	34328.56	0	0.0474
184	1.0	0	0.3	cta81	1385	10000	0.0	34788.83	0	0.1385
185	0.0	0	0.3	cta104	474	10000	1.0	34381.34	0	0.0474
186	0.0	0	0.3	cta227	492	10000	1.0	34302.93	0	0.0492
187	0.0	0	0.3	cta132	502	10000	1.0	35068.31	0	0.0502
188	1.0	0	0.3	cta139	1364	10000	0.0	34399.35	0	0.1364
189	0.0	0	0.3	cta20	1888	10000	0.0	35309.57	0	0.1888
190	0.0	0	0.3	cta112	1909	10000	0.0	35046.53	0	0.1909
191	1.0	0	0.3	cta221	1386	10000	0.0	34655.8	0	0.1386
192	1.0	0	0.3	cta48	1413	10000	0.0	34825.6	0	0.1413
193	1.0	0	0.3	cta73	1346	10000	0.0	34710.71	0	0.1346
194	0.0	0	0.3	cta165	488	10000	1.0	34487.71	0	0.0488
195	0.0	0	0.3	cta81	487	10000	1.0	34941.25	0	0.0487
196	1.0	0	0.3	cta9	1399	10000	0.0	34292.18	0	0.1399
197	0.0	0	0.3	cta29	499	10000	1.0	34557.33	0	0.0499
198	0.0	0	0.3	cta223	2089	10000	0.0	35010.95	0	0.2089
199	0.0	0	0.3	cta225	496	10000	1.0	34833.64	0	0.0496
200	0.0	0	0.3	cta150	512	10000	1.0	34652.99	0	0.0512
201	1.0	0	0.3	cta46	1358	10000	0.0	34713.23	0	0.1358
202	1.0	0	0.3	cta15	1329	10000	0.0	34751.5	0	0.1329
203	0.0	0	0.3	cta41	486	10000	1.0	34989.43	0	0.0486
204	1.0	0	0.3	cta152	1338	10000	0.0	34201.9	0	0.1338
205	0.0	0	0.3	cta76	470	10000	1.0	34910.64	0	0.047
206	0.0	0	0.3	cta198	2091	10000	0.0	34901.79	0	0.2091
207	0.0	0	0.3	cta29	1811	10000	0.0	34974.77	0	0.1811
208	0.0	0	0.3	cta207	2107	10000	0.0	34621.93	0	0.2107
209	0.0	0	0.3	cta56	1164	10000	0.0	34162.58	0	0.1164
210	0.0	0	0.3	cta228	499	10000	1.0	34701.89	0	0.0499
211	0.0	0	0.3	cta148	1998	10000	0.0	35045.28	0	0.1998
212	0.0	0	0.3	cta85	484	10000	1.0	34370.07	0	0.0484
213	1.0	0	0.3	cta140	1396	10000	0.0	34657.87	0	0.1396
214	1.0	0	0.3	cta44	1329	10000	0.0	35062.22	0	0.1329
215	1.0	0	0.3	cta230	1367	10000	0.0	34770.07	0	0.1367
216	0.0	0	0.3	cta41	1434	10000	0.0	34392.4	0	0.1434
217	1.0	0	0.3	cta8	1425	10000	0.0	35041.56	0	0.1425
218	0.0	0	0.3	cta64	1155	10000	0.0	35077.61	0	0.1155
219	0.0	0	0.3	cta115	537	10000	1.0	34961.03	0	0.0537
220	1.0	0	0.3	cta65	460	10000	0.0	35580.99	0	0.046
221	1.0	0	0.3	cta212	1379	10000	0.0	34749.92	0	0.1379
222	0.0	0	0.3	cta74	1551	10000	0.0	35515.34	0	0.1551
223	1.0	0	0.3	cta235	1406	10000	0.0	34904.04	0	0.1406
224	0.0	0	0.3	cta197	2136	10000	0.0	35441.01	0	0.2136
225	1.0	0	0.3	cta211	1357	10000	0.0	34683.11	0	0.1357
226	1.0	0	0.3	cta104	1394	10000	0.0	34492.73	0	0.1394
227	0.0	0	0.3	cta78	1494	10000	0.0	34365.76	0	0.1494
228	0.0	0	0.3	cta109	442	10000	1.0	34373.91	0	0.0442
229	0.0	0	0.3	cta67	478	10000	1.0	34994.79	0	0.0478
230	1.0	0	0.3	cta126	1341	10000	0.0	35323.78	0	0.1341
231	0.0	0	0.3	cta206	2017	10000	0.0	34463.13	0	0.2017
232	0.0	0	0.3	cta50	512	10000	1.0	35132.09	0	0.0512
233	0.0	0	0.3	cta47	1446	10000	0.0	34611.11	0	0.1446
234	1.0	0	0.3	cta203	1374	10000	0.0	34363.78	0	0.1374
235	0.0	0	0.3	cta127	527	10000	1.0	34955.89	0	0.0527
236	0.0	0	0.3	cta72	478	10000	1.0	34905.48	0	0.0478
237	1.0	0	0.3	cta118	1412	10000	0.0	35222.11	0	0.1412
238	0.0	0	0.3	cta23	1850	10000	0.0	34894.5	0	0.185
239	1.0	0	0.3	cta191	1360	10000	0.0	34910.56	0	0.136
240	0.0	0	0.3	cta224	481	10000	1.0	34885.87	0	0.0481
241	0.0	0	0.3	cta153	2062	10000	0.0	35080.65	0	0.2062
242	1.0	0	0.3	cta188	1373	10000	0.0	34899.73	0	0.1373
243	0.0	0	0.3	cta181	1999	10000	0.0	34500.51	0	0.1999
244	1.0	0	0.3	cta176	1378	10000	0.0	34650.47	0	0.1378
245	0.0	0	0.3	cta213	2071	10000	0.0	34726.4	0	0.2071
246	0.0	0	0.3	cta114	517	10000	1.0	35069.15	0	0.0517
247	1.0	0	0.3	cta165	1391	10000	0.0	35175.89	0	0.1391
248	0.0	0	0.3	cta160	528	10000	1.0	35033.74	0	0.0528
249	1.0	0	0.3	cta85	1349	10000	0.0	35105.44	0	0.1349
250	0.0	0	0.3	cta209	2121	10000	0.0	34778.96	0	0.2121
251	0.0	0	0.3	cta165	2040	10000	0.0	34717.01	0	0.204
252	0.0	0	0.3	cta113	1841	10000	0.0	34446.43	0	0.1841
253	1.0	0	0.3	cta192	1406	10000	0.0	34890.81	0	0.1406
254	0.0	0	0.3	cta33	472	10000	1.0	34700.93	0	0.0472
255	0.0	0	0.3	cta95	1769	10000	0.0	34579.09	0	0.1769
256	0.0	0	0.3	cta40	494	10000	1.0	34650.73	0	0.0494
257	0.0	0	0.3	cta126	2002	10000	0.0	34979.84	0	0.2002
258	0.0	0	0.3	cta195	2107	10000	0.0	35056.49	0	0.2107
259	0.0	0	0.3	cta184	1990	10000	0.0	34965.05	0	0.199
260	0.0	0	0.3	cta98	1821	10000	0.0	35133.0	0	0.1821
261	1.0	0	0.3	cta26	1372	10000	0.0	34711.28	0	0.1372
262	1.0	0	0.3	cta134	1371	10000	0.0	35058.39	0	0.1371
263	0.0	0	0.3	cta10	430	10000	1.0	34843.22	0	0.043
264	0.0	0	0.3	cta146	521	10000	1.0	34986.56	0	0.0521
265	1.0	0	0.3	cta234	1410	10000	0.0	35236.94	0	0.141
266	1.0	0	0.3	cta185	1379	10000	0.0	34498.51	0	0.1379
267	0.0	0	0.3	cta107	469	10000	1.0	34623.09	0	0.0469
268	0.0	0	0.3	cta30	490	10000	1.0	34698.45	0	0.049
269	0.0	0	0.3	cta167	2053	10000	0.0	35072.46	0	0.2053
270	0.0	0	0.3	cta233	2160	10000	0.0	35090.45	0	0.216
271	1.0	0	0.3	cta143	1385	10000	0.0	35126.88	0	0.1385
272	0.0	0	0.3	cta148	522	10000	1.0	35062.92	0	0.0522
273	1.0	0	0.3	cta117	1409	10000	0.0	34594.92	0	0.1409
274	0.0	0	0.3	cta70	451	10000	1.0	34443.43	0	0.0451
275	0.0	0	0.3	cta182	449	10000	1.0	34632.63	0	0.0449
276	1.0	0	0.3	cta168	1336	10000	0.0	35004.96	0	0.1336
277	1.0	0	0.3	cta195	1373	10000	0.0	35072.74	0	0.1373
278	0.0	0	0.3	cta42	497	10000	1.0	35251.22	0	0.0497
279	1.0	0	0.3	cta201	1363	10000	0.0	35092.9	0	0.1363
280	1.0	0	0.3	cta161	1447	10000	0.0	35055.28	0	0.1447
281	0.0	0	0.3	cta174	2086	10000	0.0	34699.2	0	0.2086
282	0.0	0	0.3	cta96	1798	10000	0.0	34602.7	0	0.1798
283	0.0	0	0.3	cta191	489	10000	1.0	34760.41	0	0.0489
284	0.0	0	0.3	cta107	1868	10000	0.0	34411.75	0	0.1868
285	1.0	0	0.3	cta202	1380	10000	0.0	35282.36	0	0.138
286	0.0	0	0.3	cta28	1751	10000	0.0	34468.81	0	0.1751
287	1.0	0	0.3	cta2	1463	10000	0.0	34900.57	0	0.1463
288	0.0	0	0.3	cta10	1794	10000	0.0	34605.14	0	0.1794
289	1.0	0	0.3	cta42	1389	10000	0.0	35120.39	0	0.1389
290	1.0	0	0.3	cta69	454	10000	0.0	34279.94	0	0.0454
291	1.0	0	0.3	cta83	1378	10000	0.0	35017.96	0	0.1378
292	0.0	0	0.3	cta89	1668	10000	0.0	34605.59	0	0.1668
293	1.0	0	0.3	cta229	1363	10000	0.0	35151.94	0	0.1363
294	0.0	0	0.3	cta75	1510	10000	0.0	35069.52	0	0.151
295	1.0	0	0.3	cta167	1437	10000	0.0	34879.66	0	0.1437
296	0.0	0	0.3	cta185	492	10000	1.0	34709.59	0	0.0492
297	0.0	0	0.3	cta216	507	10000	1.0	34661.57	0	0.0507
298	0.0	0	0.3	cta191	2075	10000	0.0	35132.97	0	0.2075
299	0.0	0	0.3	cta32	1677	10000	0.0	34057.69	0	0.1677
300	0.0	0	0.3	cta3	1773	10000	0.0	35118.27	0	0.1773
301	0.0	0	0.3	cta229	2125	10000	0.0	34878.7	0	0.2125
302	1.0	0	0.3	cta12	1386	10000	0.0	34764.72	0	0.1386
303	0.0	0	0.3	cta106	1895	10000	0.0	34732.66	0	0.1895
304	0.0	0	0.3	cta201	520	10000	1.0	34665.45	0	0.052
305	0.0	0	0.3	cta135	1964	10000	0.0	34382.0	0	0.1964
306	0.0	0	0.3	cta75	489	10000	1.0	34936.49	0	0.0489
307	0.0	0	0.3	cta205	495	10000	1.0	34685.12	0	0.0495
308	0.0	0	0.3	cta2	448	10000	1.0	34473.79	0	0.0448
309	0.0	0	0.3	cta102	506	10000	1.0	35016.14	0	0.0506
310	0.0	0	0.3	cta48	1498	10000	0.0	34622.28	0	0.1498
311	0.0	0	0.3	cta137	488	10000	1.0	34998.22	0	0.0488
312	0.0	0	0.3	cta36	1710	10000	0.0	34993.88	0	0.171
313	0.0	0	0.3	cta210	2164	10000	0.0	34610.15	0	0.2164
314	0.0	0	0.3	cta16	1894	10000	0.0	35258.16	0	0.1894
315	0.0	0	0.3	cta89	446	10000	1.0	34927.59	0	0.0446
316	1.0	0	0.3	cta181	1348	10000	0.0	34828.97	0	0.1348
317	1.0	0	0.3	cta237	2241	10000	0.0	34873.52	0	0.2241
318	0.0	0	0.3	cta221	2095	10000	0.0	34874.66	0	0.2095
319	1.0	0	0.3	cta224	1355	10000	0.0	34741.95	0	0.1355
320	1.0	0	0.3	cta142	1362	10000	0.0	34312.14	0	0.1362
321	0.0	0	0.3	cta72	1513	10000	0.0	34972.14	0	0.1513
322	1.0	0	0.3	cta226	1356	10000	0.0	34995.27	0	0.1356
323	0.0	0	0.3	cta211	489	10000	1.0	35027.53	0	0.0489
324	0.0	0	0.3	cta46	1478	10000	0.0	34619.24	0	0.1478
325	0.0	0	0.3	cta48	510	10000	1.0	34612.62	0	0.051
326	0.0	0	0.3	cta109	1816	10000	0.0	34509.49	0	0.1816
327	0.0	0	0.3	cta78	489	10000	1.0	34913.02	0	0.0489
328	1.0	0	0.3	cta84	1318	10000	0.0	34520.97	0	0.1318
329	0.0	0	0.3	cta230	2070	10000	0.0	34778.59	0	0.207
330	1.0	0	0.3	cta63	460	10000	0.0	35117.95	0	0.046
331	0.0	0	0.3	cta58	500	10000	1.0	34888.93	0	0.05
332	1.0	0	0.3	cta91	1364	10000	0.0	34899.97	0	0.1364
333	1.0	0	0.3	cta183	1379	10000	0.0	34824.72	0	0.1379
334	0.0	0	0.3	cta162	497	10000	1.0	34706.65	0	0.0497
335	0.0	0	0.3	cta68	495	10000	1.0	34737.22	0	0.0495
336	0.0	0	0.3	cta160	2016	10000	0.0	35073.51	0	0.2016
337	1.0	0	0.3	cta216	1397	10000	0.0	34693.94	0	0.1397
338	0.0	0	0.3	cta203	2105	10000	0.0	34360.81	0	0.2105
339	0.0	0	0.3	cta176	2073	10000	0.0	34874.4	0	0.2073
340	0.0	0	0.3	cta202	478	10000	1.0	34789.47	0	0.0478
341	0.0	0	0.3	cta69	1139	10000	0.0	34540.75	0	0.1139
342	0.0	0	0.3	cta192	476	10000	1.0	34615.64	0	0.0476
343	0.0	0	0.3	cta194	509	10000	1.0	34691.12	0	0.0509
344	0.0	0	0.3	cta60	2246	10000	0.0	34852.69	0	0.2246
345	0.0	0	0.3	cta164	501	10000	1.0	34831.14	0	0.0501
346	0.0	0	0.3	cta120	1962	10000	0.0	34592.61	0	0.1962
347	0.0	0	0.3	cta99	1821	10000	0.0	34525.93	0	0.1821
348	0.0	0	0.3	cta6	1791	10000	0.0	34414.19	0	0.1791
349	1.0	0	0.3	cta102	1323	10000	0.0	34907.36	0	0.1323
350	0.0	0	0.3	cta205	2150	10000	0.0	34635.72	0	0.215
351	0.0	0	0.3	cta66	533	10000	1.0	34920.53	0	0.0533
352	0.0	0	0.3	cta108	1826	10000	0.0	35212.37	0	0.1826
353	0.0	0	0.3	cta187	2050	10000	0.0	34675.2	0	0.205
354	0.0	0	0.3	cta129	495	10000	1.0	34410.29	0	0.0495
355	0.0	0	0.3	cta11	1724	10000	0.0	34697.17	0	0.1724
356	0.0	0	0.3	cta171	2039	10000	0.0	34886.76	0	0.2039
357	1.0	0	0.3	cta76	1375	10000	0.0	35264.28	0	0.1375
358	0.0	0	0.3	cta63	501	10000	1.0	34806.29	0	0.0501
359	1.0	0	0.3	cta200	1415	10000	0.0	35528.7	0	0.1415
360	0.0	0	0.3	cta39	487	10000	1.0	34888.27	0	0.0487
361	0.0	0	0.3	cta110	1928	10000	0.0	34817.62	0	0.1928
362	1.0	0	0.3	cta215	1391	10000	0.0	34751.07	0	0.1391
363	0.0	0	0.3	cta131	496	10000	1.0	35458.36	0	0.0496
364	0.0	0	0.3	cta157	2022	10000	0.0	34709.47	0	0.2022
365	0.0	0	0.3	cta237	2246	10000	0.0	34852.69	0	0.2246
366	1.0	0	0.3	cta177	1353	10000	0.0	34913.58	0	0.1353
367	0.0	0	0.3	cta8	381	10000	1.0	35021.56	0	0.0381
